form,pos,gloss
ich,Pronoun,I
ist,Verb,third-person singular present of sein
die,Article,nominative/accusative singular feminine of der
nicht,Adverb,"not, non- (negates the meaning of a verb, adjective, or adverb)"
sie,Pronoun,she
tom,,
das,Article,nominative/accusative neuter singular of der: the
der,Article,"nominative masculine singular definite article, the"
du,Pronoun,"you (singular familiar), thou"
zu,Preposition,"to, towards (indicates directionality)"
es,,
er,,
in,Preposition,".mw-parser-output .object-usage-tag{font-style:italic}.mw-parser-output .deprecated{color:var(--wikt-palette-grey-lime-8,olivedrab)}[with dative] in, inside, within, at (inside a b"
und,,
ein,,
hat,,
den,,
wir,,
sich,,
dass,,
eine,,
mit,,
auf,,
was,,
habe,,
mir,,
wie,,
ihr,,
sind,,
von,,
war,,
mich,,
haben,,
an,,
maria,,
als,,
dem,,
einen,,
so,Adverb,"so, such, that"
für,,
kann,,
im,,
wenn,,
man,,
noch,,
aus,,
sein,,
um,,
wird,,
bin,Verb,first-person singular present of sein
hast,Verb,second-person singular present of haben
nach,Preposition,"after, past (later in time)"
dich,Pronoun," accusative of du; you, thee ."
dir,Pronoun," dative of du; you, to you."
uns,Pronoun,accusative/dative of wir: us
sehr,Adverb,very
nur,Adverb,"only, just, merely, simply"
aber,Conjunction,but; however; though
meine,Pronoun,"inflection of meiner:
feminine singular
plural"
schon,,
hier,,
immer,,
werden,Verb," will, to be going to, forms the future tense .mw-parser-output .object-usage-tag{font-style:italic}.mw-parser-output .deprecated{color:var(--wikt-palette-grey-lime-8,olivedrab)}[w"
mehr,,
etwas,,
des,Article,genitive masculine/neuter singular of der: the
mein,,
vor,,
auch,,
keine,,
ihn,,
einem,,
warum,,
diese,,
am,Contraction,"contraction of an (“at/on”) +‎ dem (“the”, masculine/neuter dative singular) .mw-parser-output .object-usage-tag{font-style:italic}.mw-parser-output .deprecated{color:var(--wikt-pa"
weiß,,
bei,,
zum,,
will,,
bist,,
nichts,,
gut,,
über,,
seine,,
ihm,,
viel,,
heute,,
einer,,
oder,,
hatte,,
tun,,
alles,,
muss,,
können,,
alle,,
wurde,,
gibt,,
da,,
leben,,
euch,,
ihre,,
wo,,
daß,,
machen,,
zeit,,
dieses,,
sagen,,
jetzt,,
wer,,
werde,,
bitte,,
gehen,,
nie,,
viele,,
mal,,
kein,,
doch,,
ihnen,,
dieser,,
menschen,,
gesagt,,
würde,,
deine,,
wieder,,
sagte,,
möchte,,
geld,,
morgen,,
einmal,,
geht,,
zur,,
hätte,,
kannst,,
müssen,,
wirklich,,
sehen,,
tag,,
macht,,
habt,,
wissen,,
ohne,,
kommt,,
dann,,
zwei,,
drei,,
hause,,
selbst,,
waren,,
seinen,,
bis,,
frau,,
kommen,,
essen,,
haus,Verb,singular imperative of hausen
glaube,Verb,"inflection of glauben:
first-person singular present
singular imperative
first/third-person singular subjunctive I"
durch,Preposition,by means of; by; through
sei,Verb,first-person singular subjunctive I of sein
gesehen,Participle,past participle of sehen
wäre,Verb,first/third-person singular subjunctive II of sein
wollte,Verb,"inflection of wollen:
first/third-person singular preterite
first/third-person singular subjunctive II"
gerade,Adjective, even
arbeit,,
denn,Conjunction,for; because; since
mann,,
gerne,Adverb,alternative form of gern.
mary,,
dein,,
welt,,
besser,,
buch,Verb,singular imperative of buchen
helfen,,
sprechen,,
soll,,
ins,,
mag,,
lange,,
keinen,,
gemacht,Participle,past participle of machen
lassen,,
meinen,,
toms,,
kinder,,
ob,,
wollen,,
ganz,,
ja,,
auto,,
oft,,
gestern,,
diesem,,
willst,,
anderen,,
weg,,
liebe,Adjective,"inflection of lieb:
strong/mixed nominative/accusative feminine singular
strong nominative/accusative plural
weak nominative all-gender singular
weak accusative feminine/neuter sin"
eines,,
seiner,,
einfach,,
vater,,
wann,,
ab,,
ihren,,
boston,,
französisch,,
diesen,,
dort,Adverb,"there, yonder"
weil,,
konnte,,
meiner,,
niemand,,
mutter,,
sollte,,
damit,,
sagt,,
schule,,
leute,,
seinem,,
uhr,,
könnte,,
lernen,,
gehört,,
unter,,
kam,,
ging,Verb,first/third-person singular preterite of gehen
unsere,,
seit,,
getan,,
jeden,,
vom,,
hund,,
andere,,
frage,,
mensch,,
jeder,,
jahre,,
wasser,Verb,"inflection of wassern:
first-person singular present
singular imperative"
meinem,,
sicher,,
vielleicht,,
sondern,,
sprache,,
sah,,
tut,,
geben,,
beim,,
jemand,,
zimmer,,
jahr,,
freund,,
abend,,
zurück,,
gar,,
stadt,,
allein,,
sieht,,
gute,,
davon,,
wirst,,
ihrer,,
seid,,
schnell,,
sollen,,
recht,,
fragen,,
mädchen,,
jahren,,
angst,,
gab,Verb,first/third-person singular preterite of geben
bleiben,Verb, to remain (to continue to be)
denke,Verb,"inflection of denken:
first-person singular present
first/third-person singular subjunctive I
singular imperative"
wahrheit,,
schön,Adjective,"beautiful, lovely, pretty, handsome"
gern,Adverb,"willingly; gladly; with pleasure; usually expressed verbally in English, with like, enjoy etc."
wohl,Adverb,"possibly, probably; as I was told (modal particle expressing an assumption, often like English must + infinitive, or  guess + clause)"
vergessen,Verb, to forget (lose remembrance of)
finden,Verb, to find; to discover
steht,Verb,"inflection of stehen:
third-person singular present
second-person plural present
plural imperative"
glauben,Verb, to believe something (to consider true)
musst,,
fast,,
nacht,,
fehler,,
kaufen,,
gegen,,
warten,,
kind,,
wahr,,
paar,,
fahren,,
