form,lemma,source,pos
die,der,kaikki-form-of,article;pron
mir,ich,kaikki-form-of,pron
mich,ich,kaikki-form-of,pron
dem,der,kaikki-form-of,article;pron
kann,können,kaikki-form-of,verb
dich,du,kaikki-form-of,pron
dir,du,kaikki-form-of,pron
uns,wir,kaikki-form-of,pron
diese,dieser,kaikki-form-of,pron
will,wollen,kaikki-form-of,verb
gibt,geben,kaikki-form-of,verb
euch,ihr,kaikki-form-of,pron
dieses,dieser,kaikki-form-of,pron
ihnen,sie,kaikki-form-of,pron
dieser,dieser,kaikki-headword,pron
sagte,sagen,kaikki-form-of,verb
möchte,mögen,kaikki-form-of,verb
kannst,können,kaikki-form-of,verb
ohne,ohne,kaikki-headword,adv;conj;prep
sei,sein,kaikki-form-of,verb
wollte,wollen,kaikki-form-of,verb
mag,mögen,kaikki-form-of,verb
diesem,dieser,kaikki-form-of,pron
willst,wollen,kaikki-form-of,verb
anderen,anderer,kaikki-form-of,adj
diesen,dieser,kaikki-form-of,pron
konnte,können,kaikki-form-of,verb
sollte,sollen,kaikki-form-of,verb
könnte,können,kaikki-form-of,verb
kam,kommen,kaikki-form-of,verb
ging,gehen,kaikki-form-of,verb
seit,seit,kaikki-headword,conj;prep
jeden,jeder,kaikki-form-of,pron
jeder,jeder,kaikki-headword,det;pron
sprache,sprache,kaikki-headword,noun
sah,sehen,kaikki-form-of,verb
tut,tun,kaikki-form-of,verb
sieht,sehen,kaikki-form-of,verb
gab,geben,kaikki-form-of,verb
musst,müssen,kaikki-form-of,verb
fehler,fehler,kaikki-headword,noun
augen,auge,kaikki-form-of,noun
lass,lassen,kaikki-form-of,verb
spricht,sprechen,kaikki-form-of,verb
hilfe,hilfe,kaikki-headword,noun
sollten,sollen,kaikki-form-of,verb
darf,dürfen,kaikki-form-of,verb
dachte,denken,kaikki-form-of,verb
während,während,kaikki-headword,conj;prep
wusste,wissen,kaikki-form-of,verb
kaffee,kaffee,kaikki-headword,noun
hoffe,hoffen,kaikki-form-of,verb
solltest,sollen,kaikki-form-of,verb
geschichte,geschichte,kaikki-headword,noun
katze,katze,kaikki-headword,noun
bett,bett,kaikki-headword,noun
bücher,buch,kaikki-form-of,noun
lehrer,lehren,kaikki-form-of,noun
sag,sagen,kaikki-form-of,verb
gegessen,essen,kaikki-form-of,verb
kennt,kennen,kaikki-form-of,verb
kenne,kennen,kaikki-form-of,verb
nahm,nehmen,kaikki-form-of,verb
machte,machen,kaikki-form-of,verb
mach,machen,kaikki-form-of,verb
lässt,lassen,kaikki-form-of,verb
freundin,freund,kaikki-form-of,noun
eure,euer,kaikki-form-of,det
beiden,beide,kaikki-form-of,det;pron
glaubt,glauben,kaikki-form-of,verb
musste,müssen,kaikki-form-of,verb
bereits,bereits,kaikki-headword,adv
gib,geben,kaikki-form-of,verb
hättest,haben,kaikki-form-of,verb
nächsten,nah,kaikki-form-of,adj
könnten,können,kaikki-form-of,verb
minuten,minute,kaikki-form-of,noun
fragte,fragen,kaikki-form-of,verb
liebt,lieben,kaikki-form-of,verb
besten,gut,kaikki-form-of,adj
würdest,werden,kaikki-form-of,verb
isst,essen,kaikki-form-of,verb
sache,sache,kaikki-headword,noun
möchtest,mögen,kaikki-form-of,verb
glaubst,glauben,kaikki-form-of,verb
könntest,können,kaikki-form-of,verb
jede,jeder,kaikki-form-of,pron
geboren,gebären,kaikki-form-of,verb
hörte,hören,kaikki-form-of,verb
ließ,lassen,kaikki-form-of,verb
eigenen,eigen,kaikki-form-of,adj
wünschte,wünschen,kaikki-form-of,verb
komm,kommen,kaikki-form-of,verb
fährt,fahren,kaikki-form-of,verb
männer,mann,kaikki-form-of,noun
jedes,jeder,kaikki-form-of,pron
siehst,sehen,kaikki-form-of,verb
denkt,denken,kaikki-form-of,verb
fand,finden,kaikki-form-of,verb
sagten,sagen,kaikki-form-of,verb
denkst,denken,kaikki-form-of,verb
hält,halten,kaikki-form-of,verb
wem,wer,kaikki-form-of,pron
welches,welcher,kaikki-form-of,pron
versuchte,versuchen,kaikki-form-of,verb
trägt,tragen,kaikki-form-of,verb
gedanken,gedanke,kaikki-form-of,noun
geh,gehen,kaikki-form-of,verb
sätze,satz,kaikki-form-of,noun
bat,bitten,kaikki-form-of,verb
hielt,halten,kaikki-form-of,verb
nächste,nah,kaikki-form-of,adj
blumen,blume,kaikki-form-of,noun
fühle,fühlen,kaikki-form-of,verb
hände,hand,kaikki-form-of,noun
jedem,jeder,kaikki-form-of,pron
möchten,mögen,kaikki-form-of,verb
hör,hören,kaikki-form-of,verb
name,name,kaikki-headword,noun
verstanden,verstehen,kaikki-form-of,verb
länger,lang,kaikki-form-of,adj
sprach,sprechen,kaikki-form-of,verb
allem,allem,kaikki-headword,pron
fiel,fallen,kaikki-form-of,verb
zog,ziehen,kaikki-form-of,verb
kindern,kind,kaikki-form-of,noun
freude,freude,kaikki-headword,noun
seien,sein,kaikki-form-of,verb
schien,scheinen,kaikki-form-of,verb
nimmt,nehmen,kaikki-form-of,verb
nimm,nehmen,kaikki-form-of,verb
saß,sitzen,kaikki-form-of,verb
größer,groß,kaikki-form-of,adj
kennst,kennen,kaikki-form-of,verb
welcher,welcher,kaikki-headword,det;pron
magst,mögen,kaikki-form-of,verb
starb,sterben,kaikki-form-of,verb
sachen,sache,kaikki-form-of,noun
stellte,stellen,kaikki-form-of,verb
begann,beginnen,kaikki-form-of,verb
größte,groß,kaikki-form-of,adj
wen,wer,kaikki-form-of,pron
hilft,helfen,kaikki-form-of,verb
liest,lesen,kaikki-form-of,verb
wochen,woche,kaikki-form-of,noun
fing,fangen,kaikki-form-of,verb
älter,alt,kaikki-form-of,adj
blieb,bleiben,kaikki-form-of,verb
angekommen,ankommen,kaikki-form-of,verb
freue,freuen,kaikki-form-of,verb
gestohlen,stehlen,kaikki-form-of,verb
läuft,laufen,kaikki-form-of,verb
aufgabe,aufgabe,kaikki-headword,noun
fuhr,fahren,kaikki-form-of,verb
katzen,katze,kaikki-form-of,noun
versprochen,versprechen,kaikki-form-of,verb
gingen,gehen,kaikki-form-of,verb
farbe,farbe,kaikki-headword,noun
wollten,wollen,kaikki-form-of,verb
seele,seele,kaikki-headword,noun
angefangen,anfangen,kaikki-form-of,verb
sprichst,sprechen,kaikki-form-of,verb
setzte,setzen,kaikki-form-of,verb
welchen,welcher,kaikki-form-of,pron
auge,auge,kaikki-headword,noun
politiker,politiker,kaikki-headword,noun
nachbarn,nachbar,kaikki-form-of,noun
solltet,sollen,kaikki-form-of,verb
erinnere,erinnern,kaikki-form-of,verb
tue,tun,kaikki-form-of,verb
