class,pattern,count,kind,examples
routine,ich weiß nicht,1839,routine,210;245;93
routine,nicht wahr,1573,routine,355167;361417;344537
routine,es tut mir leid,525,routine,344;338473;338474
routine,keine ahnung,464,routine,140001;368591;310
routine,in ordnung,446,routine,369874;346955;369603
routine,vielen dank,297,routine,347929;342029;341149
routine,bis morgen,193,routine,353747;338309;353751
routine,viel spaß,165,routine,503975;503974;330601
routine,meiner meinung nach,136,routine,369196;395431;449995
routine,guten tag,127,routine,403851;404146;441182
routine,ich habe keine zeit,124,routine,362672;363963;344441
routine,kein problem,111,routine,789482;645127;349948
routine,gute nacht,109,routine,1002;404221;409089
routine,viel glück,96,routine,485474;387985;413747
routine,ich bin müde,92,routine,451195;579529;395287
routine,wie geht es dir,91,routine,358124;394218;396544
routine,was ist los,87,routine,621494;309;621487
routine,guten morgen,80,routine,404689;6065;417591
routine,ich weiß es nicht,73,routine,394166;560890;553375
routine,auf wiedersehen,72,routine,479631;485463;485466
routine,alles gute,68,routine,841792;355043;932798
routine,herzlichen glückwunsch,56,routine,404606;697964;82
routine,ich habe hunger,43,routine,1690550;863;1471536
routine,natürlich nicht,41,routine,352551;1222502;1226945
routine,danke schön,38,routine,403064;1716815;1716823
routine,guten abend,33,routine,444481;1597904;6062
routine,na ja,32,routine,4682978;4491480;4714166
routine,mir geht es gut,23,routine,659407;444746;1535945
routine,ich muss los,22,routine,608679;344352;700812
routine,ach so,22,routine,657981;716205;394256
routine,wie bitte,18,routine,1515147;2738775;1935278
routine,ich habe durst,17,routine,943175;361107;809053
routine,bitte schön,16,routine,1607651;1607652;561069
routine,was ist mit dir,16,routine,766790;1201901;1844130
routine,mir ist kalt,15,routine,814159;343615;547865
routine,gern geschehen,13,routine,10769609;2786012;5075869
routine,pass auf dich auf,9,routine,531349;724939;589971
routine,bis bald,8,routine,1419211;8098820;394482
routine,bis dann,5,routine,353839;6376408;7054234
routine,gute besserung,5,routine,5992220;6681637;5838711
routine,bis später,4,routine,3384030;6638945;7315426
routine,mir ist heiß,1,routine,8237338
routine,später vielleicht,1,routine,2722630
routine,stimmt genau,0,routine,
routine,entschuldigung,0,routine,
routine,machs gut,0,routine,
perfekt_frame,hat … gesagt,2046,frame,6095;6107;1021
perfekt_frame,habe … gesehen,1052,frame,136445;496;1007
perfekt_frame,hat … gemacht,865,frame,341272;136448;342300
perfekt_frame,habe … gesagt,838,frame,369816;855;445216
perfekt_frame,habe … gehört,639,frame,341236;342522;342560
perfekt_frame,haben … gesagt,568,frame,480073;783330;883052
perfekt_frame,ist … passiert,542,frame,348422;6157;840
perfekt_frame,hast … gesehen,540,frame,359070;353061;344484
perfekt_frame,ist … gegangen,528,frame,340881;343042;136435
perfekt_frame,hast … gesagt,513,frame,630;838;821
perfekt_frame,hat … gekauft,506,frame,330461;342798;348421
perfekt_frame,habe … gemacht,493,frame,353005;6187;350142
perfekt_frame,habe … gekauft,484,frame,136256;236461;6165
perfekt_frame,haben … gesehen,475,frame,443606;443525;369838
perfekt_frame,ist … geworden,471,frame,341248;341715;877
perfekt_frame,ist … leicht,470,frame,347916;341375;344550
perfekt_frame,ist … gekommen,448,frame,1225;495;342081
perfekt_frame,habe … vergessen,432,frame,353110;366498;351787
perfekt_frame,hat … getan,408,frame,353010;352099;6156
perfekt_frame,hat … gefallen,397,frame,1155;369168;353054
perfekt_frame,hast … gemacht,381,frame,353009;341594;6079
perfekt_frame,ist … stadt,379,frame,1260;431;1233
perfekt_frame,hat … gesehen,379,frame,359068;368204;479731
perfekt_frame,ist … gestorben,369,frame,136444;135992;136437
perfekt_frame,habe … gefunden,367,frame,360894;343090;344913
perfekt_frame,hat … angst,360,frame,351098;348855;209
perfekt_frame,hat … gegeben,358,frame,331896;344926;370145
perfekt_frame,haben … gemacht,344,frame,345364;360542;903
perfekt_frame,habe … gegessen,323,frame,1243;342586;350677
perfekt_frame,habe … angst,318,frame,620;341668;342622
perfekt_frame,hat … gefunden,291,frame,352550;360905;374170
perfekt_frame,habe … getan,282,frame,441432;345009;356530
perfekt_frame,habe … getroffen,281,frame,1261;591;135750
perfekt_frame,ist … hauptstadt,276,frame,331890;331891;331892
perfekt_frame,ist … gefährlich,273,frame,138816;332361;342290
perfekt_frame,hat … gegessen,271,frame,592268;450008;620916
perfekt_frame,habe … gelesen,256,frame,358417;693;670
perfekt_frame,sind … gegangen,256,frame,702;139101;6162
perfekt_frame,hat … geschrieben,255,frame,139116;330596;139165
perfekt_frame,habe … versucht,252,frame,180443;344535;341610
perfekt_frame,habt … gesehen,252,frame,931306;611604;901346
perfekt_frame,ist … arbeit,249,frame,365037;353274;361511
perfekt_frame,bin … gegangen,248,frame,688;1240;826
perfekt_frame,ist … gewesen,247,frame,158;367316;364968
perfekt_frame,hast … gekauft,243,frame,356158;361014;374564
perfekt_frame,hast … gehört,237,frame,370467;360830;370789
perfekt_frame,habe … gelernt,235,frame,874;287;1028
perfekt_frame,haben … angst,235,frame,360551;357470;380746
perfekt_frame,hat … erzählt,227,frame,608483;860609;947115
perfekt_frame,hatte … angst,226,frame,356667;341567;778
perfekt_frame,hat … geholfen,225,frame,344473;338348;360
perfekt_frame,ist … selbst,218,frame,406642;398898;342830
perfekt_frame,hat … arbeit,212,frame,406826;406848;361377
perfekt_frame,bin … gekommen,209,frame,347993;477787;815
perfekt_frame,hat … vergessen,209,frame,352022;399764;341962
perfekt_frame,habe … verstanden,209,frame,446568;414297;424260
perfekt_frame,ist … bekannt,202,frame,350969;344656;354810
perfekt_frame,sind … gekommen,194,frame,363271;353682;389129
perfekt_frame,war … überrascht,192,frame,351615;352790;342624
perfekt_frame,habe … gebeten,188,frame,342820;351575;350904
perfekt_frame,ist … beschäftigt,187,frame,342561;364958;361105
perfekt_frame,ist … interessant,185,frame,353250;353694;338314
perfekt_frame,hat … gelernt,184,frame,641826;411080;516064
perfekt_frame,hat … gefragt,178,frame,413746;139988;362162
perfekt_frame,hat … gebeten,178,frame,344678;602966;399493
perfekt_frame,hast … gegessen,177,frame,644;967;904
perfekt_frame,haben … gegessen,177,frame,368569;461400;400017
perfekt_frame,haben … gefunden,175,frame,353572;435691;628379
perfekt_frame,hast … getan,173,frame,521562;629;707551
perfekt_frame,habe … geschrieben,172,frame,360723;344635;348141
perfekt_frame,ist … gefallen,171,frame,345250;700;345047
perfekt_frame,hat … gewonnen,171,frame,369143;370386;384222
perfekt_frame,ist … wahrheit,168,frame,622;1100;682
perfekt_frame,haben … gekauft,167,frame,767631;497231;593573
perfekt_frame,bin … beschäftigt,165,frame,359103;356647;356648
perfekt_frame,bist … gekommen,162,frame,352027;509;119750
perfekt_frame,habe … gegeben,161,frame,381123;408757;426460
perfekt_frame,habe … gedacht,160,frame,570139;626752;259
perfekt_frame,hat … gebracht,159,frame,353003;648;364546
perfekt_frame,haben … getan,155,frame,989615;740900;913868
perfekt_frame,ist … geschichte,154,frame,364994;710;361126
perfekt_frame,hat … versucht,153,frame,684873;343050;641821
perfekt_frame,haben … gehört,151,frame,383173;383174;425621
perfekt_frame,habe … gesprochen,150,frame,1262;365949;370162
perfekt_frame,hat … geheiratet,150,frame,345253;341532;341535
perfekt_frame,ist … kaputt,149,frame,722;341913;331882
perfekt_frame,ist … kunst,149,frame,366742;435890;535332
perfekt_frame,hast … gefunden,148,frame,360332;449994;446
perfekt_frame,hat … gestohlen,145,frame,341284;361468;398612
perfekt_frame,habt … gesagt,144,frame,942950;1761226;1121694
perfekt_frame,habt … gemacht,143,frame,703802;823106;370118
perfekt_frame,ist … genauso,141,frame,332357;340816;353601
perfekt_frame,ist … verheiratet,141,frame,341538;341581;344701
perfekt_frame,habe … gefühl,141,frame,658192;669540;563287
perfekt_frame,hat … verändert,140,frame,340914;353317;1244
perfekt_frame,habe … gewartet,140,frame,461423;357798;362210
perfekt_frame,hat … gekostet,136,frame,341587;354524;341990
perfekt_frame,habe … arbeit,134,frame,180999;562;343074
perfekt_frame,hat … selbst,134,frame,347942;1166;363393
perfekt_frame,ist … verrückt,133,frame,463698;446694;344283
perfekt_frame,hat … beigebracht,133,frame,361609;344530;368328
perfekt_frame,habe … gefragt,132,frame,712305;522110;147
perfekt_frame,ist … überhaupt,132,frame,351772;372608;350
perfekt_frame,haben … gesprochen,132,frame,340909;633935;659430
perfekt_frame,ist … gefahren,130,frame,404131;343083;349865
perfekt_frame,hat … genommen,130,frame,402375;423832;370212
perfekt_frame,hat … aufgehört,129,frame,15773;342533;343488
perfekt_frame,hat … gearbeitet,129,frame,353255;344617;348157
perfekt_frame,bist … gegangen,128,frame,361382;364443;351572
perfekt_frame,bin … gewesen,128,frame,360646;361599;385561
perfekt_frame,hat … gesprochen,128,frame,644212;362201;612838
perfekt_frame,hast … angst,127,frame,755392;955089;811261
perfekt_frame,ist … äußerst,126,frame,392449;400535;399516
perfekt_frame,ist … entfernt,125,frame,358247;366401;341995
perfekt_frame,sind … geworden,122,frame,358224;351709;351712
perfekt_frame,hast … gelernt,121,frame,590706;622959;662716
perfekt_frame,ist … gesagt,119,frame,480096;137;668
perfekt_frame,hast … gelesen,119,frame,349827;359674;344569
perfekt_frame,hat … geändert,119,frame,351683;369826;372281
perfekt_frame,hat … nacht,118,frame,352523;6061;359676
perfekt_frame,bist … gewesen,118,frame,521493;724214;620284
perfekt_frame,war … beschäftigt,117,frame,353765;344570;343548
perfekt_frame,hast … vergessen,117,frame,1250502;700336;619338
perfekt_frame,habe … geschlafen,116,frame,341455;694;642
perfekt_frame,ist … geboren,116,frame,6081;119749;345359
perfekt_frame,bin … bereit,116,frame,368291;393444;404572
perfekt_frame,hat … getrunken,114,frame,414588;135990;341129
perfekt_frame,ist … macht,114,frame,411146;588920;400636
perfekt_frame,ist … bereit,112,frame,341419;603269;590907
perfekt_frame,hat … getroffen,112,frame,584072;344595;344647
perfekt_frame,hat … geschickt,112,frame,576213;367783;661814
perfekt_frame,habe … getrunken,112,frame,901278;928393;801636
perfekt_frame,ist … beliebt,111,frame,399891;364460;439395
perfekt_frame,hat … geschlagen,111,frame,604113;413978;691771
perfekt_frame,ist … gelungen,111,frame,1454651;1072115;1039093
perfekt_frame,ist … perfekt,110,frame,705393;341918;424577
perfekt_frame,ist … geschehen,109,frame,346958;576627;403650
perfekt_frame,hat … geregnet,109,frame,426287;398625;410064
perfekt_frame,haben … vergessen,106,frame,6086;619339;1306604
perfekt_frame,hat … geburtstag,106,frame,556814;556257;588695
perfekt_frame,ist … antwort,105,frame,503569;626984;360882
perfekt_frame,sind … verheiratet,104,frame,359645;365404;342614
perfekt_frame,hat … geschichte,104,frame,360736;353320;374095
perfekt_frame,ist … geschlossen,103,frame,403798;626124;638368
perfekt_frame,ist … bestimmt,103,frame,419206;642295;1250207
perfekt_frame,habe … kennengelernt,102,frame,367787;635635;347617
perfekt_frame,ist … verliebt,101,frame,1000640;345457;437480
perfekt_frame,haben … gelernt,101,frame,641636;398893;597255
perfekt_frame,ist … gesundheit,100,frame,360575;361556;342323
perfekt_frame,ist … geblieben,100,frame,501361;421648;432876
perfekt_frame,hat … gehört,99,frame,365824;754289;363916
perfekt_frame,habe … gesucht,98,frame,342046;449964;316
perfekt_frame,war … nacht,96,frame,345019;351658;365303
perfekt_frame,hat … gelesen,96,frame,353790;359678;359685
perfekt_frame,ist … nacht,96,frame,668737;675339;406874
perfekt_frame,habe … nachricht,95,frame,354897;599031;455259
perfekt_frame,habe … nacht,95,frame,369997;397830;372649
perfekt_frame,hast … gegeben,95,frame,396592;503973;443186
perfekt_frame,habe … gearbeitet,94,frame,414180;585203;544593
perfekt_frame,hat … geschafft,94,frame,746391;991563;665942
perfekt_frame,habt … gehört,94,frame,1530985;683155;851591
perfekt_frame,ist … gesund,93,frame,417569;414284;417580
perfekt_frame,hast … gedacht,93,frame,612808;453807;556020
perfekt_frame,bin … geboren,92,frame,392732;360728;370019
perfekt_frame,hat … besucht,92,frame,372867;362227;395221
perfekt_frame,habt … gekauft,92,frame,1315657;784575;992855
perfekt_frame,ist … geschenk,91,frame,139440;367781;412972
perfekt_frame,haben … geheiratet,91,frame,361602;340882;361437
perfekt_frame,hat … verdient,91,frame,713174;564349;792928
perfekt_frame,habe … gewusst,91,frame,1573533;1573525;1703259
perfekt_frame,bin … gewohnt,90,frame,412227;417250;353784
perfekt_frame,hat … verkauft,90,frame,662729;373087;563270
perfekt_frame,ist … monat,89,frame,352334;119745;119748
perfekt_frame,haben … getroffen,89,frame,341653;350902;394186
perfekt_frame,habe … selbst,89,frame,351580;394437;380705
