lemma,form,rank,tier,count,forms,reason
boston,boston,202,core,3721,boston,no_usable_dictionary_gloss
sami,sami,587,core,1084,sami,no_usable_dictionary_gloss
tatoeba,tatoeba,767,core,777,tatoeba,no_usable_dictionary_gloss
ziri,ziri,1385,core,394,ziri,no_usable_dictionary_gloss
layla,layla,1616,core,330,layla,no_usable_dictionary_gloss
york,york,1692,core,306,york,no_usable_dictionary_gloss
mary,marys,1801,core,280,marys,no_usable_dictionary_gloss
ky,ky,1888,core,265,ky,no_usable_dictionary_gloss
liisa,liisa,1985,core,247,liisa,no_usable_dictionary_gloss
markku,markku,2138,ext,224,markku,no_usable_dictionary_gloss
freundinnen,freundinnen,2324,ext,200,freundinnen,no_usable_dictionary_gloss
yanni,yanni,2394,ext,192,yanni,no_usable_dictionary_gloss
caf,caf,2655,ext,170,caf,no_usable_dictionary_gloss
bill,bill,2679,ext,167,bill,no_usable_dictionary_gloss
toki,toki,2833,ext,156,toki,no_usable_dictionary_gloss
rima,rima,2835,ext,156,rima,no_usable_dictionary_gloss
pona,pona,2843,ext,155,pona,no_usable_dictionary_gloss
dan,dan,2928,ext,149,dan,no_usable_dictionary_gloss
dr,dr,2949,ext,147,dr,no_usable_dictionary_gloss
smith,smith,3050,ext,141,smith,no_usable_dictionary_gloss
jim,jim,3129,ext,137,jim,no_usable_dictionary_gloss
de,de,3143,ext,137,de,no_usable_dictionary_gloss
fuji,fuji,3153,ext,136,fuji,no_usable_dictionary_gloss
jackson,jackson,3372,ext,124,jackson,no_usable_dictionary_gloss
kyoto,kyoto,3476,ext,119,kyoto,no_usable_dictionary_gloss
jack,jack,3757,ext,107,jack,no_usable_dictionary_gloss
marika,marika,3781,ext,107,marika,no_usable_dictionary_gloss
ca,ca,3973,ext,100,ca,no_usable_dictionary_gloss
